CAND_ID,CAND_NAME,CAND_ICI,CAND_PTY_AFFILIATION,CAND_OFFICE_ST,CAND_OFFICE_DISTRICT,TTL_RECEIPTS
H8FL02105,"PETERS, BRANDON S.",O,DEM,FL,03,218
H8FL03020,"WELLS, TOM BECKWITH DR.",O,DEM,FL,03,13044.36
H0FL03159,"WELLS, AMY POPE",O,REP,FL,03,217085.9
H0FL03175,"CAMMACK, KAT",O,REP,FL,03,492374.96
H0FL03191,"ROLLINS, GAVIN",O,REP,FL,03,179907.2
H0FL03209,"ST. GEORGE, JAMES",O,REP,FL,03,921794.97
H0FL03217,"GIUNN, KENT",O,REP,FL,03,5060
H0FL03225,"BRADDY, ED",O,REP,FL,03,4117.53
H0FL03233,"CHAMBERLIN, RYAN MR.",O,REP,FL,03,166083.4
H0FL03241,"CHASE, TODD",O,REP,FL,03,355484.24
H0FL03258,"ENGELBRECHT, CHARLES WILLIAM MR",O,REP,FL,03,68530
H0FL03266,"THEUS, DAVID",O,REP,FL,03,16322.11
H2FL06109,"YOHO, THEODORE SCOTT",I,REP,FL,03,93238.61
H8FL03046,"SAPP, JUDSON",O,REP,FL,03,770019.01
H0FL04157,"DEEGAN, DONNA",C,DEM,FL,04,645857.93
H0FL04140,"AGUILAR, ERICK JAVIER DR.",C,REP,FL,04,15056.99
H6FL04105,"RUTHERFORD, JOHN",I,REP,FL,04,792466.12
H0FL02086,"LAWSON, ALFRED JR",I,DEM,FL,05,519275.1
H0FL05147,"CHESTER, ALBERT II",C,DEM,FL,05,77748.85
H0FL05154,"LUSK, MATTHEW MR.",C,REP,FL,05,2972.29
H0FL05170,"ADLER, GARY",C,REP,FL,05,53576
H0FL05188,"WAGONER, JOHN ROGER",C,REP,FL,05,61725
H8FL05157,"FULLER, VIRGINIA",C,REP,FL,05,32748.37
H0FL06103,"CURTIS, CLINT",C,DEM,FL,06,13882.76
H0FL06111,"THRIPP, RICHARD",C,DEM,FL,06,108667.49
H6FL08213,"GRAYSON, ALAN MARK",C,DEM,FL,06,84844.79
H8FL06148,"WALTZ, MICHAEL",I,REP,FL,06,1729991.37
H0FL06145,"NOLAN, JOHN GERARD MR.",C,NPA,FL,06,4608.65
H0FL07200,"FIGUEIREDO, PEDRO NORMAN PH.D.",C,DEM,FL,07,600
H6FL07140,"MURPHY, STEPHANIE",I,DEM,FL,07,2195792.14
H0FL07093,"SALADO, ARMANI",C,REP,FL,07,8379.85
H0FL07119,"EDWARDS, JANET",C,REP,FL,07,15120
H0FL07127,"THIBODEAU, MIKE",C,REP,FL,07,12051
H0FL07135,"GOBLE, RICHARD",C,REP,FL,07,156346.3
H0FL07143,"VALENTIN, LEO",C,REP,FL,07,496472.44
H0FL07150,"ZHAO, YUKONG",C,REP,FL,07,307887.46
H0FL07168,"DIANGELUS, JEAN ROCHELLE CHELLE",C,REP,FL,07,23093.68
H0FL07184,"JACKSON, SEAN",C,REP,FL,07,27375
H0FL07192,"GARLINGTON, WILLIAM",C,NPA,FL,07,10400
H0FL08224,"KENNEDY, JAMES",C,DEM,FL,08,99730.24
H6FL09187,"GRAYSON, DENA MD, PHD",C,DEM,FL,08,15582.79
H0FL08257,"WALLS-WINDHAUSER, ANGELA MARIE",C,REP,FL,08,0
H0FL08265,"CAINE, SCOTT",C,REP,FL,08,201815.54
H8FL15107,"POSEY, BILL",I,REP,FL,08,726826.8
H6FL09179,"SOTO, DARREN",I,DEM,FL,09,744005.56
H0FL09073,"ORTIZ, SERGIO E",C,REP,FL,09,10745
H0FL09081,"OLSON, WILLIAM",C,REP,FL,09,220933.67
H0FL09115,"CASTILLO, JOSE ALFREDO",C,REP,FL,09,25306.01
H0FL09131,"WRIGHT, CHRISTOPHER ROBERT",C,REP,FL,09,18360.31
H2FL08063,"DEMINGS, VALDEZ 'VAL'",I,DEM,FL,10,1338601.73
H0FL10089,"TROEN, KIRK",C,REP,FL,10,31836.29
H0FL10113,"MONTAGUE, WILLIE",C,REP,FL,10,13809.81
H8FL07088,"FRANCOIS, VENNIA V.",C,REP,FL,10,207194.26
H0FL10105,"LAWSON, KRISTOFER STEVEN",C,IND,FL,10,46.99
H0FL11194,"RABINOWITZ, JEFFREY G",C,DEM,FL,11,1060.39
H8FL11130,"COTTRELL, DANA",C,DEM,FL,11,31002.15
H0FL08208,"WEBSTER, DANIEL",I,REP,FL,11,485126.96
H6FL13197,"WALKER, KIMBERLY H MS",C,DEM,FL,12,21774.08
H0FL12176,"SMITH, ZACHARY",C,REP,FL,12,500
H6FL09070,"BILIRAKIS, GUS M",I,REP,FL,12,1100097
H6FL13205,"CRIST, CHARLIE JOSEPH",I,DEM,FL,13,2163128.77
H0FL13125,"GRIFFIN, SHEILA",C,REP,FL,13,55605.71
H0FL13133,"MAKKI, AMANDA",C,REP,FL,13,1207093.92
H0FL13141,"BECKER, MATT",C,REP,FL,13,84539.03
H0FL13158,"PAULINA LUNA, ANNA",C,REP,FL,13,997556.32
H0FL13166,"NEWBY, SHARON BARRY",C,REP,FL,13,54995.23
H0FL13174,"SACRAMENTO, NICOLAS",C,REP,FL,13,100
H8FL13136,"BUCK, GEORGE WILLIAM PHD",C,REP,FL,13,1000185.22
H6FL11126,"CASTOR, KATHY",I,DEM,FL,14,598034.91
H0FL14131,"ELLIOTT, PAUL SIDNEY",,REP,FL,14,10440
H6FL14112,"QUINN, CHRISTINE YVONNE",C,REP,FL,14,56267.65
H0FL15070,"PHILIPPE, JESSE",C,DEM,FL,15,18647.65
H0FL15088,"HATTERSLEY, ADAM ROGER",C,DEM,FL,15,642345.2
H4FL15155,"COHN, ALAN MICHAEL",C,DEM,FL,15,588919.81
H8FL15180,"LEARNED, ANDREW",C,DEM,FL,15,52025
H0FL15104,"FRANKLIN, SCOTT MR.",C,REP,FL,15,587441.31
H8FL15230,"SPANO, VINCENT ROSS",I,REP,FL,15,1066250.13
H0FL16094,"GOOD, MARGARET ELIZABETH ROWELL",C,DEM,FL,16,1799164.99
H2FL13139,"SCHNEIDER, JAN",,DEM,FL,16,2300
H6FL13148,"BUCHANAN, VERNON",I,REP,FL,16,3049805.81
H0FL17159,"ELLISON, ALLEN",C,DEM,FL,17,33902.98
H8FL17053,"STEUBE, GREG",I,REP,FL,17,506766.68
H0FL18199,"VAZQUEZ, OSVALDO",C,DEM,FL,18,450438.59
H0FL18207,"KEITH, PAMELA M.",C,DEM,FL,18,282369.59
H0FL18181,"VESSIO, NICHOLAS P",C,REP,FL,18,98762.54
H6FL18097,"MAST, BRIAN",I,REP,FL,18,3868599.06
H0FL19106,"BANYAI, CINDY LYN",O,DEM,FL,19,85548.5
H0FL19155,"HOLDEN, DAVID",O,DEM,FL,19,229760.19
H0FL19114,"FIGLESTHALER, WILLIAM MATTHEW MD",O,REP,FL,19,2544283.83
H0FL19122,"EAGLE, DANE",O,REP,FL,19,741112.6
H0FL19130,"SEVERSON, DANIEL MARK",O,REP,FL,19,141259.19
H0FL19163,"AQUINO, DARREN DIONE MR.",O,REP,FL,19,74774.26
H0FL19171,"O'CONNELL, FORD",O,REP,FL,19,377171
H0FL19189,"HENDERSON, RANDY",O,REP,FL,19,263556.22
H0FL19197,"FITZENHAGEN, HEATHER",O,REP,FL,19,116835.76
H0FL19205,"DONALDS, BYRON",O,REP,FL,19,1182918.5
H0FL19213,"MCLAUGHLIN, CHRISTY",O,REP,FL,19,22570
H0FL19221,"ASKAR, CASEY",O,REP,FL,19,3686916.25
H0FL19247,"KOWAL, DANIEL",O,REP,FL,19,59600
H6FL19087,"ROONEY, FRANCIS",I,REP,FL,19,6797.35
H0FL20138,"MODY, ROSHAN",C,DEM,FL,20,13700.5
H2FL23021,"HASTINGS, ALCEE L",I,DEM,FL,20,469561.71
H8FL20032,"CHERFILUS-MCCORMICK, SHEILA",C,DEM,FL,20,69835.47
H0FL20112,"JONES, LATERESA ANN",C,REP,FL,20,5096.95
H0FL20120,"MUSSELWHITE, GREGORY WAYNE SR.",C,REP,FL,20,24403.28
H0FL20146,"MILLER, ERVAN KATARI",C,REP,FL,20,255
H0FL20153,"DEGRAMMONT, VIC",C,REP,FL,20,11483.33
H0FL21102,"AARONS, ADAM",C,DEM,FL,21,0
H0FL21144,"WEISS, GUIDO",C,DEM,FL,21,23296.82
H0FL21169,"LEVY, LAUREN ALLISON",C,DEM,FL,21,0
H2FL14053,"FRANKEL, LOIS J.",I,DEM,FL,21,866366.88
H0FL21037,"ACOSTA, CHRISTIAN F.",C,REP,FL,21,90155.43
H0FL21045,"BLUEMING JR, MICHAEL JOESPH",C,REP,FL,21,20937.13
H0FL21052,"DA ROSA, VICTOR GARCIA",C,REP,FL,21,5395
H0FL21060,"SCANLAN, AARON",C,REP,FL,21,91285
H0FL21078,"LOOMER, LAURA",C,REP,FL,21,1161622.45
H0FL21086,"VILARDI, MICHAEL",C,REP,FL,21,56494.98
H0FL21094,"FELTON, ELIZABETH",C,REP,FL,21,81664.56
H0FL21110,"SHERRILL, REBA",C,REP,FL,21,350102.5
H0FL21136,"BLUEMLING, MICHAEL JOSEPH JR",C,REP,FL,21,5430.83
H0FL21177,"MALKEMUS, CHARLESTON",C,NPA,FL,21,10000
H0FL19080,"DEUTCH, THEODORE ELIOT",I,DEM,FL,22,994574.22
H0FL22084,"MELTON, JESSICA MS.",C,REP,FL,22,182737.57
H0FL22100,"SWAFFAR, DARLENE",C,REP,FL,22,18348.47
H0FL22118,"PRUDEN, JAMES L.",C,REP,FL,22,182744.13
H0FL22159,"FLYNN, FRAN",C,REP,FL,22,156076.97
H8FL22095,"WALTERS, EDDISON T DR.",C,REP,FL,22,0
H0FL22050,"REYES, OMAR",C,IND,FL,22,9008.33
H0FL23082,"PERELMAN, JENNIFER PILCHICK",C,DEM,FL,23,322029.16
H4FL20023,"WASSERMAN SCHULTZ, DEBBIE",I,DEM,FL,23,1500918.17
H0FL23058,"NIZAHON, SHLOMO",C,REP,FL,23,1357.36
H0FL23066,"MENDELSON, RICHARD",C,REP,FL,23,5689
H0FL23090,"SPALDING, CARLA A",C,REP,FL,23,446990.95
H0FL23108,"KROSKE, MICHAEL T",C,REP,FL,23,20469.82
H0FL17068,"WILSON, FREDERICA S",I,DEM,FL,24,266255.29
H0FL24197,"LEHTOLA, SAKINAH LEE",C,DEM,FL,24,11865.72
H8FL24067,"DE LA FUENTE, RICARDO",C,DEM,FL,24,111000
H0FL24205,"SPICER, LAVERN",C,REP,FL,24,23546.76
H0FL23041,"OLIVO, CHRISTINE ALEXANDRIA",C,NPA,FL,24,15270.25
H0FL25095,"ESCOBAR, YADIRA",C,DEM,FL,25,2196.9
H0FL25103,"PERSKY, STEWART ALAN",C,REP,FL,25,1346
H2FL25018,"DIAZ-BALART, MARIO",I,REP,FL,25,1300244.94
H8FL26039,"MUCARSEL-POWELL, DEBBIE",I,DEM,FL,26,3921060.33
H0FL26010,"VILARINO, IRINA MS.",C,REP,FL,26,446090
H0FL26028,"BLANCO, OMAR",C,REP,FL,26,179091.9
H0FL26036,"GIMENEZ, CARLOS",C,REP,FL,26,1153399.2
H0FL26044,"MISIGOY, DENNIS",C,LIB,FL,26,2885.49
H8FL27011,"HEPBURN, MICHAEL MR",C,DEM,FL,27,10300
H8FL27193,"SHALALA, DONNA",I,DEM,FL,27,2592181.54
H0FL27026,"FIOL, JUAN E MR.",C,REP,FL,27,28060.2
H0FL27034,"MOLINA, RAYMOND",C,REP,FL,27,32585.1
H0FL27042,"TARRIO, ENRIQUE",C,REP,FL,27,9526.1
H0FL27067,"POLO, FRANK E. SR.",C,REP,FL,27,2473.7
H8FL27110,"FERRER, GABRIEL A",C,REP,FL,27,227
H8FL27185,"SALAZAR, MARIA ELVIRA",C,REP,FL,27,1883858.69
H0GA01052,"SEIDMAN, BARBARA",C,DEM,GA,01,60295.91
H0GA01078,"GRIGGS, JOYCE",C,DEM,GA,01,78207.6
H8GA01063,"RING, LISA M. MS.",C,DEM,GA,01,74720.67
H0GA01060,"MERRITT, DANIEL",C,REP,GA,01,104118.73
H4GA01039,"CARTER, EARL LEROY",I,REP,GA,01,1714054.45
H2GA02031,"BISHOP, SANFORD",I,DEM,GA,02,929343.03
H0GA02258,"COLE, DONALD EUGENE",C,REP,GA,02,44015.65
H4GA02078,"CHILDS, VIVIAN LOUISE",C,REP,GA,02,28970.26
H0GA03074,"ALMONORD, VALBRUN",C,DEM,GA,03,11582.49
H6GA03113,"FERGUSON, ANDERSON DREW IV",I,REP,GA,03,1806114.75
H0GA04114,"NIETMANN, ELAINE",C,DEM,GA,04,13036.46
H0GA04122,"HICKS, ANTONIO CORTEZ",C,DEM,GA,04,1764.25
H0GA04130,"HASTON, WILLIAM",C,DEM,GA,04,12952.53
H6GA04129,"JOHNSON, HENRY C. 'HANK",I,DEM,GA,04,407822.17
H0GA04148,"CRUZ, JOHSIRA C MRS",C,REP,GA,04,7993.91
H0GA05251,"MARTIN, BARRINGTON DEON MR II",C,DEM,GA,05,7891.4
H6GA05217,"LEWIS, JOHN R",I,DEM,GA,05,3668289.36
H0GA05277,"STANTON KING, ANGELA",C,REP,GA,05,70300
H8GA06393,"MCBATH, LUCIA KAY MS.",I,DEM,GA,06,5276704.13
H0GA06168,"BEACH, BRANDON",C,REP,GA,06,558132.19
H0GA06184,"RODDEN, NICOLE",C,REP,GA,06,186390.33
H0GA06218,"BARTHELEMY, MYKEL LYNN",C,REP,GA,06,7056
H0GA06226,"SMITH, PAULETTE MISS",C,REP,GA,06,4212.5
H8GA04125,"PROFIT, JOSEPH REV.",O,REP,GA,06,599205.51
H8GA06286,"HANDEL, KAREN CHRISTINE",C,REP,GA,06,1932543.18
H0GA07190,"COLE, MARQUS A.",O,DEM,GA,07,60717.88
H0GA07208,"ISLAM, NABILAH AISHAH",O,DEM,GA,07,741731.13
H0GA07216,"EAVES, JOHN H DR.",O,DEM,GA,07,145468.39
H0GA07281,"LOPEZ ROMERO, BRENDA",O,DEM,GA,07,171040.23
H0GA07323,"KARINSHAK, ZAHRA S.",O,DEM,GA,07,835796.46
H8GA07151,"KIM, DAVID",O,DEM,GA,07,0
H8GA07201,"BOURDEAUX, CAROLYN",O,DEM,GA,07,2203611.32
H0GA07133,"WOODALL, ROB REP.",I,REP,GA,07,11972.36
H0GA07224,"HOMRICH, LYNNE",O,REP,GA,07,952066.48
H0GA07232,"GONSALVES, MARK",O,REP,GA,07,495330.4
H0GA07240,"FLOYD, HARRISON",O,REP,GA,07,18901
H0GA07273,"MCCORMICK, RICHARD DEAN DR.",O,REP,GA,07,1150054.19
H0GA07299,"UNTERMAN, RENEE",O,REP,GA,07,1068612.28
H0GA07307,"BABBAGE, LISA NOEL",O,REP,GA,07,9726.52
H0GA07315,"TSENG, AMIDA JACQUELINE",O,REP,GA,07,32613.67
H0GA07331,"KENNEMORE, ZACHARY HEATHCLIFF MR.",O,REP,GA,07,120
H4GA12051,"YU, EUGENE CHIN MR.",O,REP,GA,07,54893.64
H0GA08115,"HOLLIDAY, LINDSAY DOZIER DR",C,DEM,GA,08,7270
H0GA08099,"SCOTT, JAMES AUSTIN",I,REP,GA,08,618800.71
H8GA08092,"ELLYSON, DANIEL EVAN",C,REP,GA,08,7635
H8GA08118,"COOPER, JAMES L III",C,GRE,GA,08,6430
H0GA09162,"WILSON, DAN CAROLL MR.",O,DEM,GA,09,23132
H0GA09170,"PANDY, DEVIN D MR SR",O,DEM,GA,09,20611.66
H0GA09204,"TANNER, KEVIN",O,REP,GA,09,448739
H0GA09212,"WILKINSON, JOHN",O,REP,GA,09,174743
H0GA09220,"GURTLER, MATT",O,REP,GA,09,659698.32
H0GA09238,"UNDERWOOD, ETHAN",O,REP,GA,09,334150
H0GA09246,"CLYDE, ANDREW",O,REP,GA,09,876980.24
H0GA09253,"TOLIN, TYLER JAMES",O,REP,GA,09,2005
H0GA09261,"STRICKLAND, MARIA D.",O,REP,GA,09,33607.18
H0GA09279,"WEEKS, KELLIE",O,REP,GA,09,6720
H2GA09150,"COLLINS, DOUGLAS ALLEN",I,REP,GA,09,1858809.75
H6GA09243,"BROUN, PAUL",O,REP,GA,09,188738
H0GA10269,"FERGUSON, ANDREW",C,DEM,GA,10,19901.51
H8GA10197,"JOHNSON-GREEN, TABITHA",C,DEM,GA,10,7712.96
H0GA07125,"HICE, JODY",I,REP,GA,10,382046.55
H0GA11028,"KINSEY, RACHEL",C,DEM,GA,11,4040
H0GA11036,"BARRETT, DANA",C,DEM,GA,11,228621.85
H0GA11044,"NUCKOLLS, HADEN ASHER",C,DEM,GA,11,3043.42
H4GA11061,"LOUDERMILK, BARRY",I,REP,GA,11,535096.09
H0GA12059,"JOHNSON, ELIZABETH (LIZ)",C,DEM,GA,12,25313.14
H0GA12067,"STEINER, DAN",C,DEM,GA,12,15295.06
H2GA12121,"ALLEN, RICHARD W",I,REP,GA,12,843694.99
H0GA13115,"OWENS, MICHAEL DR",C,DEM,GA,13,45530.07
H0GA13123,"PETERS, JANNQUELL",C,DEM,GA,13,20867.42
H0GA13156,"WAITES, KEISHA",,DEM,GA,13,875
H2GA13012,"SCOTT, DAVID ALBERT",I,DEM,GA,13,853680.07
H0GA13131,"HITES, BECKY E",C,REP,GA,13,30169.93
H0GA13149,"GONZALES, CAESAR",C,REP,GA,13,10385.47
H8GA13027,"COWEN, MARTIN LINDSEY MR. III",C,LIB,GA,13,17891.09
H0GA14097,"VAN AUSDAL, KEVIN",O,DEM,GA,14,18672.95
H0GA06192,"GREENE, MARJORIE TAYLOR MRS.",O,REP,GA,14,1586196.24
H0GA07257,"BULLOCK, BENJAMIN E.",O,REP,GA,14,373311.45
H0GA09030,"GRAVES, JOHN THOMAS MR. JR.",I,REP,GA,14,799751.02
H0GA14030,"FULLER, CLAYTON",O,REP,GA,14,359129.42
H0GA14048,"COWAN, JOHN DR.",O,REP,GA,14,1198060.04
H0GA14071,"COOKE, KEVIN",O,REP,GA,14,144674.1
H0GA14089,"BARGE, JOHN D",O,REP,GA,14,180726
H0GA14105,"HEMBREE, BILL",O,REP,GA,14,256975
H0GA14113,"LAUGHRIDGE, MATTHEW",O,REP,GA,14,346832
H0GA14121,"GUNTHER, ANDREAS (ANDY)",O,REP,GA,14,14855.25
H0GU01035,"UNDERWOOD, ROBERT ANACLETUS",,DEM,GU,00,40400
H2GU00025,"UNDERWOOD, ROBERT ANACLETUS",,DEM,GU,00,40400
H8GU01020,"SAN NICOLAS, MICHAEL F.Q. MR.",I,DEM,GU,00,49106
H0GU01027,"CASTRO, WILLIAM MENDIOLA",,REP,GU,00,4713.97
H2HI02128,"CASE, EDWARD",I,DEM,HI,01,442203.5
H0HI02155,"KAHELE, KAIALI'I",O,DEM,HI,02,940708.91
H2HI02508,"GABBARD, TULSI",I,DEM,HI,02,610136.68
H0HI02213,"AKANA, JOSEPH S",O,REP,HI,02,26857.74
H0HI02221,"KANESHIRO, ELISE HATSUKO",O,REP,HI,02,1032.73
H0HI02254,"NAGAMINE, ROBERT K",,REP,HI,02,8555.8
H0HI02197,"HOOMANAWANUI, JONATHAN",O,OTH,HI,02,860
H8IA01094,"FINKENAUER, ABBY",I,DEM,IA,01,3550985.43
H0IA01174,"ARENHOLZ, ASHLEY HINSON",C,REP,IA,01,2728758.98
H0IA01182,"HANSEN, THOMAS",C,REP,IA,01,5646.54
H0IA02156,"HART, RITA",O,DEM,IA,02,1861225.04
H6IA02146,"LOEBSACK, DAVID WAYNE",I,DEM,IA,02,154214.63
H0IA02164,"SCHILLING, ROBERT TODD",O,REP,IA,02,116726.97
H0IA02180,"MILLER-MEEKS, MARIANNETTE JANE",O,REP,IA,02,898272.8
H0IA02198,"PHILLIPS, RICKY LEE",O,REP,IA,02,3385
H0IA02206,"EVERLY, STEVEN R",O,REP,IA,02,6035
H8IA03124,"AXNE, CINDY",I,DEM,IA,03,3907075.38
H0IA03196,"SCHOENBLATT, JOSHUA LOUIS",C,REP,IA,03,5686
H0IA03204,"SCHAFER, WILLIAM",C,REP,IA,03,21836.49
H4IA03115,"YOUNG, DAVID",C,REP,IA,03,2009801.82
H8IA04106,"SCHOLTEN, JAMES D.",C,DEM,IA,04,1693315.29
H0IA04129,"RICHARDS, BRET A DR.",C,REP,IA,04,285390.17
H0IA04137,"TAYLOR, JEREMY",C,REP,IA,04,170156.67
H0IA04145,"FEENSTRA, RANDALL",C,REP,IA,04,1248115.86
H0IA04152,"REEDER, STEVEN",C,REP,IA,04,90802.46
H2IA05072,"KING, STEVE MR.",I,REP,IA,04,391256.74
H0ID01311,"SOTO, RUDY",,DEM,ID,01,119883
H0ID01303,"JONES, NICHOLAS",C,REP,ID,01,54696.68
H8ID01124,"FULCHER, RUSSELL",I,REP,ID,01,373039.36
H8ID02148,"SWISHER, CARLTON AARON",C,DEM,ID,02,27515.69
H8ID02064,"SIMPSON, MICHAEL",I,REP,ID,02,698426.49
H0IL01186,"GAD, SARAH",C,DEM,IL,01,108559.59
H2IL01042,"RUSH, BOBBY LEE",I,DEM,IL,01,355049.46
H2IL02172,"KELLY, ROBIN",I,DEM,IL,02,1155796.15
H0IL03091,"MATTHEW, ABRAHAM THOMAS",C,DEM,IL,03,84015.14
H0IL03109,"DARWISH, RUSH MR",C,DEM,IL,03,872010.13
H4IL03077,"LIPINSKI, DANIEL WILLIAM WILLIAM",I,DEM,IL,03,1612577.93
H8IL03102,"NEWMAN, MARIE",C,DEM,IL,03,2314826.29
H0IL03117,"FRICILONE, MIKE",C,REP,IL,03,49580
H8IL04134,"GARCIA, JESUS",I,DEM,IL,04,626890.44
H0IL04081,"SOLORIO, JESUS EDUARDO JR",,REP,IL,04,755
H0IL05096,"QUIGLEY, MIKE",I,DEM,IL,05,852120.4
H0IL05351,"BURNS, BRIAN",C,DEM,IL,05,6833.11
H0IL08033,"MARSHALL, ROBERT",C,DEM,IL,06,75030
H8IL06139,"CASTEN, SEAN",I,DEM,IL,06,3922496.39
H0IL06052,"SANGUINETTI, EVELYN",C,REP,IL,06,149008.38
H0IL06060,"IVES, JEANNE",C,REP,IL,06,1623598.12
H0IL06078,"KINZLER, GORDON J",C,REP,IL,06,176484
H0IL07167,"COLLINS, KINA ISIS",C,DEM,IL,07,111506.43
H0IL07175,"SCHANBACHER, KRISTINE",C,DEM,IL,07,438780.19
H4IL07037,"DAVIS, DANNY K",I,DEM,IL,07,398026.9
H8IL07103,"CLARK, ANTHONY",C,DEM,IL,07,145516.16
H0IL07159,"JENNINGS, TRACY",C,NNE,IL,07,22946.03
H0IL08140,"HUSSAIN, INAM DR",C,DEM,IL,08,55789.92
H6IL08147,"KRISHNAMOORTHI, S. RAJA",I,DEM,IL,08,5094664.43
H0IL09098,"TARNASIEWICZ-HELDUT, ANDREW",C,DEM,IL,09,26852.34
H8IL09067,"SCHAKOWSKY, JANICE D",I,DEM,IL,09,1497531.21
H8IL09190,"SANGARI, SARGIS",C,REP,IL,09,13765
H0IL10377,"BROAD, ADAM",C,DEM,IL,10,7625.66
H2IL10068,"SCHNEIDER, BRADLEY SCOTT",I,DEM,IL,10,2676375.21
H0IL10351,"MUKHERJEE, VALERIE RAMIREZ",C,REP,IL,10,119186
H0IL11102,"VENTURA, RACHEL F",C,DEM,IL,11,81262.24
H8IL14067,"FOSTER, G. WILLIAM (BILL)",I,DEM,IL,11,1665740.4
H0IL11110,"LAIB, RICK",C,REP,IL,11,12727.82
H0IL11128,"BANSAL, KRISHNA K",C,REP,IL,11,230293.46
H0IL12092,"FUNK, JOEL DAVID",C,DEM,IL,12,80661.14
H0IL12100,"LENZI, RAYMOND CARL DR.",C,DEM,IL,12,83809.57
H4IL12060,"BOST, MICHAEL",I,REP,IL,12,1543338.7
H0IL13066,"SMITH, STEFANIE",C,DEM,IL,13,11770.47
H8IL13150,"LONDRIGAN, BETSY DIRKSEN",C,DEM,IL,13,2882101.35
H2IL13120,"DAVIS, RODNEY L",I,REP,IL,13,3009430.05
H8IL14174,"UNDERWOOD, LAUREN",I,DEM,IL,14,4840004.83
H0IL14148,"QUIGLEY, MATTHEW MARK MR.",C,REP,IL,14,13961.62
H0IL14155,"MALOUF, DANIEL",C,REP,IL,14,7634
H0IL14163,"GRADEL, TED",C,REP,IL,14,1107033.71
H0IL14189,"REZIN, SUE",C,REP,IL,14,689724.19
H0IL14197,"LAUF, CATALINA",C,REP,IL,14,355047.91
H0IL14205,"CATELLA, ANTHONY",C,REP,IL,14,1347
H0IL14213,"EVANS, JERRY",C,REP,IL,14,75035.24
H8IL14083,"OBERWEIS, JIM",C,REP,IL,14,1940848.59
H8IL16153,"MARTER, JAMES THOMAS",C,REP,IL,14,71105.39
H0IL15194,"WEAVER, ERIKA C",O,DEM,IL,15,6958.39
H0IL15210,"MORTON, CRAIG",O,DEM,IL,15,9100
H8IL15072,"GAITHER, KEVIN",O,DEM,IL,15,6315.1
H0IL15129,"MILLER, MARY",O,REP,IL,15,465128.81
H0IL15137,"BAMBENEK, JOHN CHRISTIAN",O,REP,IL,15,0
H0IL15145,"WOLFF, KERRY ALLEN",O,REP,IL,15,12743.8
H0IL15186,"DUNCAN, DARREN",O,REP,IL,15,314260.49
H0IL15202,"ELLINGTON, CHARLES RICHARD DR. JR.",O,REP,IL,15,16999
H2IL20042,"SHIMKUS, JOHN M",I,REP,IL,15,557343.94
H0IL16184,"BRZOZOWSKI, DANI",C,DEM,IL,16,173616.69
H0IL11052,"KINZINGER, ADAM",I,REP,IL,16,1577919.09
H2IL17071,"BUSTOS, CHERI",I,DEM,IL,17,3034908.34
H0IL17083,"KING, ESTHER JOY",C,REP,IL,17,910066.25
H4IL17077,"FAWELL, WILLIAM W",C,REP,IL,17,7900
H0IL18065,"HAASIS, MARK",C,DEM,IL,18,12332.4
H6IL18088,"LAHOOD, DARIN MCKAY",I,REP,IL,18,2323956.76
H0IN01135,"MCDERMOTT, THOMAS M JR",O,DEM,IN,01,639959.35
H0IN01143,"HARPER, JAMES",O,DEM,IN,01,241537.39
H0IN01150,"MRVAN, FRANK J.",O,DEM,IN,01,300305.54
H0IN01168,"REARDON, MARA",O,DEM,IN,01,309877.36
H0IN01184,"HAAKE, SABRINA",O,DEM,IN,01,294263.94
H0IN01200,"BOROM, MELISSA",O,DEM,IN,01,68268.67
H0IN01267,"COSTELLO, SCOTT L MR",O,DEM,IN,01,10723.72
H4IN01012,"VISCLOSKY, PETER J.",I,DEM,IN,01,606791.09
H0IN01218,"SCAIFE, DELANO MICHAEL",O,REP,IN,01,6805.46
H0IN01242,"HANDLEY, MONT ANDREW",O,REP,IN,01,31746.91
H0IN02232,"MARKS, ELLEN L.",C,DEM,IN,02,351349.15
H8IN02177,"HACKETT, MARY PATRICIA",C,DEM,IN,02,487343.71
H0IN02190,"WALORSKI SWIHART, JACKIE",I,REP,IN,02,1719189.14
H0IN03230,"COLDIRON, CHIP WINTER MR.",C,DEM,IN,03,9579.68
H0IN03222,"MAGIERA, CHRIS",C,REP,IN,03,289895
H6IN03229,"BANKS, JAMES E HON.",I,REP,IN,03,795518.78
H8IN04140,"MACKEY, JOSEPH",C,DEM,IN,04,18912.79
H8IN04199,"BAIRD, JAMES R DR.",I,REP,IN,04,287472
H0IN05219,"HALE, CHRISTINA",O,DEM,IN,05,1475301.99
H0IN05227,"JACOBS, ANDREW JAMES JR.",O,DEM,IN,05,13359.45
H8IN05188,"THORNTON, DIERDRE",O,DEM,IN,05,75618.51
H8IN05196,"CHRISTIE, JENNIFER",O,DEM,IN,05,41206.32
H0IN05201,"BECKWITH, MICAH",O,REP,IN,05,153025.74
H0IN05235,"BRAUN, STEVEN J",O,REP,IN,05,46600
H0IN05243,"MITCHELL, KELLY",O,REP,IN,05,352242.45
H0IN05250,"DIETZEN, CHUCK DR.",O,REP,IN,05,314900.72
H0IN05268,"ABERNATHY, KENT",O,REP,IN,05,125322.74
